日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/4/20,小型臺指期貨,自營商,9811,4681869,9785,4667356,26,14513,6707,3201390,5071,2412351,1636,789039
2015/4/20,小型臺指期貨,投信,0,0,0,0,0,0,202,96586,0,0,202,96586
2015/4/20,小型臺指期貨,外資及陸資,15294,7301592,14335,6843921,959,457671,1822,869373,1386,654368,436,215005
2015/4/21,小型臺指期貨,自營商,7949,3802903,9396,4492883,-1447,-689980,6462,3081868,6273,2984323,189,97545
2015/4/21,小型臺指期貨,投信,0,0,0,0,0,0,202,96506,0,0,202,96506
2015/4/21,小型臺指期貨,外資及陸資,11366,5438208,12296,5883269,-930,-445061,1574,750305,1508,711834,66,38471
2015/4/22,小型臺指期貨,自營商,13014,6244391,9622,4618914,3392,1625477,7281,3494214,3586,1713368,3695,1780846
2015/4/22,小型臺指期貨,投信,7,3362,6,2883,1,480,203,97582,0,0,203,97582
2015/4/22,小型臺指期貨,外資及陸資,16867,8100330,14179,6809605,2688,1290725,2306,1106604,1189,562827,1117,543777
2015/4/23,小型臺指期貨,自營商,22007,10720275,13714,6700690,8293,4019584,16509,8112082,4813,2361464,11696,5750618
2015/4/23,小型臺指期貨,投信,4,1936,0,0,4,1936,207,101823,0,0,207,101823
2015/4/23,小型臺指期貨,外資及陸資,22505,10982257,21079,10292156,1426,690100,2510,1232903,991,477792,1519,755111
2015/4/24,小型臺指期貨,自營商,17146,8502772,16937,8400722,209,102050,18834,9332040,7093,3511548,11741,5820492
2015/4/24,小型臺指期貨,投信,3,1492,0,0,3,1492,210,104160,0,0,210,104160
2015/4/24,小型臺指期貨,外資及陸資,32772,16263546,33237,16496149,-465,-232603,2611,1292875,1797,881863,814,411012
2015/4/27,小型臺指期貨,自營商,10984,5486320,9563,4776261,1421,710059,20865,10441876,7783,3891215,13082,6550661
2015/4/27,小型臺指期貨,投信,0,0,8,3996,-8,-3996,202,101182,0,0,202,101182
2015/4/27,小型臺指期貨,外資及陸資,22042,11015401,21003,10495344,1039,520056,3433,1717528,1804,892661,1629,824867
2015/4/28,小型臺指期貨,自營商,7399,3695966,9282,4634006,-1883,-938040,19976,9969771,8621,4298880,11355,5670891
2015/4/28,小型臺指期貨,投信,0,0,0,0,0,0,202,100899,0,0,202,100899
2015/4/28,小型臺指期貨,外資及陸資,13769,6878461,14406,7193886,-637,-315426,4449,2220583,2949,1459323,1500,761260
2015/4/29,小型臺指期貨,自營商,13774,6846845,17936,8908331,-4162,-2061486,12946,6406513,5755,2843615,7191,3562898
2015/4/29,小型臺指期貨,投信,0,0,0,0,0,0,202,100061,0,0,202,100061
2015/4/29,小型臺指期貨,外資及陸資,22859,11369924,24747,12304389,-1888,-934466,4796,2374414,3520,1727713,1276,646701
