日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2015/4/20,臺股期貨,自營商,18195,34742272,20318,38786772,-2123,-4044500,3068,5819454,6042,11506406,-2974,-5686952
2015/4/20,臺股期貨,投信,99,189282,287,548537,-188,-359255,1734,3316534,4760,9103976,-3026,-5787442
2015/4/20,臺股期貨,外資及陸資,30400,58064622,28819,55029831,1581,3034791,34005,65012935,33435,63890425,570,1122510
2015/4/21,臺股期貨,自營商,16377,31338413,16591,31729185,-214,-390773,3131,5940580,6297,11984066,-3166,-6043486
2015/4/21,臺股期貨,投信,74,141466,120,229475,-46,-88009,1715,3277493,4787,9147957,-3072,-5870464
2015/4/21,臺股期貨,外資及陸資,21386,40925281,26904,51484256,-5518,-10558974,33668,64313354,38781,74051379,-5113,-9738025
2015/4/22,臺股期貨,自營商,22414,43059729,21563,41426685,851,1633043,3300,6299640,5532,10588402,-2232,-4288762
2015/4/22,臺股期貨,投信,376,722790,65,125108,311,597683,1798,3457301,4559,8766045,-2761,-5308744
2015/4/22,臺股期貨,外資及陸資,40663,78124771,30415,58438795,10248,19685976,36122,69427435,30631,58836085,5491,10591350
2015/4/23,臺股期貨,自營商,36840,71915099,31614,61807322,5226,10107777,8764,17191405,5642,11060211,3122,6131194
2015/4/23,臺股期貨,投信,754,1475282,140,273627,614,1201654,2013,3960948,4160,8185216,-2147,-4224268
2015/4/23,臺股期貨,外資及陸資,50566,98734369,44917,87794440,5649,10939929,43015,84611587,31555,62022756,11460,22588831
2015/4/24,臺股期貨,自營商,39706,78837307,38313,76054190,1393,2783117,10908,21581099,6316,12487569,4592,9093530
2015/4/24,臺股期貨,投信,578,1149666,95,188273,483,961393,2147,4259818,3811,7561024,-1664,-3301206
2015/4/24,臺股期貨,外資及陸資,56267,111682274,62711,124508972,-6444,-12826698,43869,87008880,38653,76623889,5216,10384991
2015/4/27,臺股期貨,自營商,24772,49540482,22942,45879620,1830,3660862,12397,24776312,5947,11872829,6450,12903483
2015/4/27,臺股期貨,投信,211,422521,174,348077,37,74444,2047,4101556,3674,7361226,-1627,-3259670
2015/4/27,臺股期貨,外資及陸資,48979,97951221,45264,90517193,3715,7434028,50569,101294162,41389,82866273,9180,18427889
2015/4/28,臺股期貨,自營商,15792,31557709,16132,32228776,-340,-671067,11924,23764581,5846,11638068,6078,12126513
2015/4/28,臺股期貨,投信,57,113803,54,107838,3,5965,2056,4108094,3680,7352640,-1624,-3244546
2015/4/28,臺股期貨,外資及陸資,30232,60413556,33397,66735569,-3165,-6322013,49930,99736999,44229,88306059,5701,11430940
2015/4/29,臺股期貨,自營商,28815,57266151,33425,66459375,-4610,-9193224,6881,13574143,5380,10613657,1501,2960486
2015/4/29,臺股期貨,投信,148,294733,402,797467,-254,-502734,1921,3806496,3799,7527339,-1878,-3720843
2015/4/29,臺股期貨,外資及陸資,49042,97645840,47468,94443480,1574,3202360,56554,112033679,49719,98446498,6835,13587181
2015/4/30,臺股期貨,自營商,18822,37234524,18651,36885549,171,348976,7448,14650999,5725,11258929,1723,3392070
2015/4/30,臺股期貨,投信,1,1986,228,451038,-227,-449052,1806,3567799,3911,7725789,-2105,-4157990
2015/4/30,臺股期貨,外資及陸資,38875,76911759,41635,82372329,-2760,-5460569,57103,112774340,53290,105196229,3813,7578111
2015/5/4,臺股期貨,自營商,18695,36923158,17074,33703542,1621,3219617,9219,18163102,5830,11474884,3389,6688218
2015/5/4,臺股期貨,投信,74,145755,51,100622,23,45133,1839,3635950,3921,7751817,-2082,-4115867
2015/5/4,臺股期貨,外資及陸資,26242,51828038,27808,54911238,-1566,-3083200,56154,110990929,54110,106898891,2044,4092038
2015/5/5,臺股期貨,自營商,15928,31354716,16872,33208237,-944,-1853521,8333,16348148,6025,11813417,2308,4534731
2015/5/5,臺股期貨,投信,39,76723,85,167279,-46,-90556,1832,3608554,3960,7799616,-2128,-4191062
2015/5/5,臺股期貨,外資及陸資,21390,42100454,23810,46865329,-2420,-4764876,54953,108209087,55626,109481359,-673,-1272272
2015/5/6,臺股期貨,自營商,19880,39041360,19947,39150613,-67,-109253,9081,17815193,6846,13426088,2235,4389105
2015/5/6,臺股期貨,投信,262,515385,176,345844,86,169541,1775,3495557,3817,7516436,-2042,-4020879
2015/5/6,臺股期貨,外資及陸資,31476,61778253,32300,63398928,-824,-1620675,56440,111113762,58268,114658637,-1828,-3544875
2015/5/7,臺股期貨,自營商,17752,34669786,19720,38510369,-1968,-3840583,9478,18419041,9242,17969403,236,449638
2015/5/7,臺股期貨,投信,89,173690,362,706453,-273,-532763,1576,3074036,3891,7589006,-2315,-4514970
2015/5/7,臺股期貨,外資及陸資,40234,78568858,47935,93613753,-7701,-15044895,51340,100105541,59706,116362041,-8366,-16256500
2015/5/8,臺股期貨,自營商,11211,21859545,11932,23260101,-721,-1400556,8572,16592238,8870,17182296,-298,-590058
2015/5/8,臺股期貨,投信,81,158066,279,543914,-198,-385847,1440,2798990,3953,7683083,-2513,-4884093
2015/5/8,臺股期貨,外資及陸資,23179,45212697,26698,52073312,-3519,-6860614,50859,98821994,62733,121831066,-11874,-23009072
2015/5/11,臺股期貨,自營商,25341,49335055,24502,47681471,839,1653585,10673,20683758,9991,19367196,682,1316562
2015/5/11,臺股期貨,投信,208,404391,182,354719,26,49672,1475,2868155,3962,7703870,-2487,-4835715
2015/5/11,臺股期貨,外資及陸資,41944,81621330,46223,89961354,-4279,-8340023,51365,99845409,67352,130856522,-15987,-31011113
2015/5/12,臺股期貨,自營商,17594,34140275,17187,33348389,407,791886,9349,18078035,8270,15993851,1079,2084184
2015/5/12,臺股期貨,投信,71,137839,566,1098337,-495,-960498,1473,2859594,4455,8649040,-2982,-5789446
2015/5/12,臺股期貨,外資及陸資,36329,70520145,36628,71097181,-299,-577036,55287,107306689,71519,138734600,-16232,-31427911
2015/5/13,臺股期貨,自營商,22119,43088992,22753,44318924,-634,-1229933,9012,17475797,9142,17741634,-130,-265837
2015/5/13,臺股期貨,投信,491,957054,506,986031,-15,-28977,1498,2918092,4495,8755715,-2997,-5837623
