交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2018/4/2,MTX,201804W1,10928,10969,10864,10881,-57,-0.52%,290,10881,469,10878,10880,10985,10789,,一般,
2018/4/2,MTX,201804,10921,10959,10843,10864,-60,-0.55%,106706,10863,26109,10863,10864,11122,10557,,一般,
2018/4/2,MTX,201805,10899,10930,10821,10839,-60,-0.55%,3387,10838,2988,10837,10839,11098,10598,,一般,
2018/4/2,MTX,201806,10859,10898,10790,10809,-55,-0.51%,641,10808,5113,10806,10810,11200,9262,,一般,
2018/4/2,MTX,201809,10430,10458,10348,10364,-56,-0.54%,279,10362,4263,10363,10367,10803,9662,,一般,
2018/4/2,MTX,201812,10358,10402,10290,10310,-58,-0.56%,173,10305,3230,10308,10310,10768,9633,,一般,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2018/4/3,MTX,201804W1,10796,10815,10760,10803,-78,-0.72%,239,10803,549,10801,10803,10985,10717,,一般,
2018/4/3,MTX,201804W1,10868,10880,10717,10751,-130,-1.19%,542,-,-,10748,10755,10985,10717,,盤後,
2018/4/3,MTX,201804,10770,10807,10737,10785,-78,-0.72%,99521,10783,26833,10784,10785,11122,10557,,一般,
2018/4/3,MTX,201804,10852,10879,10701,10737,-126,-1.16%,54200,-,-,10735,10738,11122,10557,,盤後,
2018/4/3,MTX,201805,10742,10780,10714,10759,-79,-0.73%,3482,10758,3467,10758,10760,11098,10598,,一般,
2018/4/3,MTX,201805,10827,10854,10678,10713,-125,-1.15%,2803,-,-,10709,10715,11098,10598,,盤後,
2018/4/3,MTX,201806,10709,10750,10684,10729,-79,-0.73%,776,10727,5188,10728,10730,11200,9262,,一般,
2018/4/3,MTX,201806,10799,10822,10646,10681,-127,-1.18%,623,-,-,10678,10684,11200,9262,,盤後,
2018/4/3,MTX,201809,10265,10306,10245,10287,-75,-0.72%,257,10287,4314,10283,10288,10803,9662,,一般,
2018/4/3,MTX,201809,10352,10374,10210,10236,-126,-1.22%,167,-,-,10237,10243,10803,9662,,盤後,
2018/4/3,MTX,201812,10228,10249,10183,10225,-80,-0.78%,200,10225,3281,10226,10230,10768,9633,,一般,
2018/4/3,MTX,201812,10296,10315,10147,10180,-125,-1.21%,150,-,-,10178,10186,10768,9633,,盤後,
2018/4/3,MTX,201804/201805,-24,-24,-24,-24,-,-,1,-,-,-27,-24,-24,-24,,一般,933
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2018/4/9,MTX,201804W1,10861,10907,10829,10896,93,0.86%,430,0,563,10896,10897,10985,10717,,一般,
2018/4/9,MTX,201804W1,10810,10871,10807,10870,67,0.62%,134,-,-,10869,10876,10985,10717,,盤後,
2018/4/9,MTX,201804W2,10900,10921,10829,10914,115,1.06%,226,10914,157,10912,10919,10921,10829,,一般,
2018/4/9,MTX,201804,10835,10911,10813,10905,122,1.13%,105701,10903,28082,10903,10905,11122,10557,,一般,
2018/4/9,MTX,201804,10795,10861,10786,10859,76,0.70%,40537,-,-,10858,10860,11122,10557,,盤後,
2018/4/9,MTX,201805,10804,10883,10788,10879,121,1.12%,4900,10878,4127,10877,10880,11098,10598,,一般,
2018/4/9,MTX,201805,10766,10835,10761,10832,74,0.69%,1584,-,-,10831,10833,11098,10598,,盤後,
2018/4/9,MTX,201806,10780,10855,10758,10848,121,1.13%,996,10845,5336,10847,10848,11200,9262,,一般,
2018/4/9,MTX,201806,10728,10804,10728,10803,76,0.71%,343,-,-,10802,10805,11200,9262,,盤後,
2018/4/9,MTX,201809,10326,10408,10314,10404,117,1.14%,410,10403,4225,10401,10404,10803,9662,,一般,
2018/4/9,MTX,201809,10295,10360,10288,10360,73,0.71%,80,-,-,10358,10363,10803,9662,,盤後,
2018/4/9,MTX,201812,10266,10349,10259,10342,117,1.14%,219,10344,3342,10343,10347,10768,9633,,一般,
2018/4/9,MTX,201812,10235,10300,10229,10300,75,0.73%,93,-,-,10300,10305,10768,9633,,盤後,
交易日期,契約,到期月份(週別),開盤價,最高價,最低價,收盤價,漲跌價,漲跌%,成交量,結算價,未沖銷契約數,最後最佳買價,最後最佳賣價,歷史最高價,歷史最低價,是否因訊息面暫停交易,交易時段,價差對單式委託成交量
2018/4/10,MTX,201804W2,10888,10990,10867,10952,38,0.35%,397,10952,259,10952,10956,10990,10829,,一般,
2018/4/10,MTX,201804W2,10928,10964,10896,10906,-8,-0.07%,166,-,-,10901,10907,10964,10829,,盤後,
2018/4/10,MTX,201804,10875,10993,10852,10948,45,0.41%,116037,10948,27292,10948,10950,11122,10557,,一般,
2018/4/10,MTX,201804,10917,10959,10878,10894,-9,-0.08%,34499,-,-,10894,10895,11122,10557,,盤後,
2018/4/10,MTX,201805,10850,10967,10828,10925,47,0.43%,6110,10924,4449,10923,10926,11098,10598,,一般,
2018/4/10,MTX,201805,10889,10932,10853,10870,-8,-0.07%,1592,-,-,10868,10869,11098,10598,,盤後,
2018/4/10,MTX,201806,10815,10934,10797,10893,48,0.44%,951,10891,5453,10892,10895,11200,9262,,一般,
2018/4/10,MTX,201806,10870,10900,10827,10841,-4,-0.04%,301,-,-,10837,10841,11200,9262,,盤後,
2018/4/10,MTX,201809,10364,10487,10356,10448,45,0.43%,368,10451,4201,10445,10449,10803,9662,,一般,
2018/4/10,MTX,201809,10417,10456,10380,10394,-9,-0.09%,125,-,-,10391,10395,10803,9662,,盤後,
2018/4/10,MTX,201812,10314,10428,10297,10390,46,0.44%,285,10389,3363,10387,10391,10768,9633,,一般,
2018/4/10,MTX,201812,10356,10398,10320,10337,-7,-0.07%,208,-,-,10333,10337,10768,9633,,盤後,
2018/4/10,MTX,201804/201805,-27,-25,-27,-25,-,-,5,-,-,-25,-24,-24,-27,,一般,3282
