日期,商品名稱,買賣權別,身份別,買方交易口數,買方交易契約金額(千元),賣方交易口數,賣方交易契約金額(千元),交易口數買賣淨額,交易契約金額買賣淨額(千元),買方未平倉口數,買方未平倉契約金額(千元),賣方未平倉口數,賣方未平倉契約金額(千元),未平倉口數買賣淨額,未平倉契約金額買賣淨額(千元)
2018/4/2,臺指選擇權,CALL,自營商,76155,166751,75854,175402,301,-8651,104418,320317,104947,337708,-529,-17391
2018/4/2,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,682,1650,-682,-1650
2018/4/2,臺指選擇權,CALL,外資及陸資,27504,84634,25695,86011,1809,-1377,94429,285181,51491,173731,42938,111450
2018/4/2,臺指選擇權,PUT,自營商,84877,254494,80585,222039,4292,32456,122570,517222,193812,854391,-71242,-337169
2018/4/2,臺指選擇權,PUT,投信,950,4438,0,0,950,4438,1900,10070,609,1559,1291,8511
2018/4/2,臺指選擇權,PUT,外資及陸資,34212,121719,32272,124928,1940,-3208,192757,833369,92497,486345,100260,347024
2018/4/3,臺指選擇權,CALL,自營商,100000,219585,112623,212965,-12623,6620,105412,277378,118564,290556,-13152,-13178
2018/4/3,臺指選擇權,CALL,投信,597,184,0,0,597,184,0,0,85,1139,-85,-1139
2018/4/3,臺指選擇權,CALL,外資及陸資,40371,116313,44832,143455,-4461,-27142,91963,221925,53486,157412,38477,64513
2018/4/3,臺指選擇權,PUT,自營商,124198,406203,113016,359753,11182,46450,130483,617861,190543,950959,-60060,-333098
2018/4/3,臺指選擇權,PUT,投信,0,0,0,0,0,0,1900,12588,609,2005,1291,10583
2018/4/3,臺指選擇權,PUT,外資及陸資,68097,251245,65703,272157,2394,-20912,200586,961632,97932,585133,102654,376499
2018/4/9,臺指選擇權,CALL,自營商,188176,339997,192432,323403,-4256,16595,78967,309977,93005,305514,-14038,4463
2018/4/9,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,85,1441,-85,-1441
2018/4/9,臺指選擇權,CALL,外資及陸資,54878,148540,52463,145962,2415,2578,79056,250128,52969,191816,26087,58312
2018/4/9,臺指選擇權,PUT,自營商,214717,350176,243417,358227,-28700,-8051,110838,391491,175289,638847,-64451,-247356
2018/4/9,臺指選擇權,PUT,投信,384,4,373,722,11,-718,1900,5890,598,1384,1302,4506
2018/4/9,臺指選擇權,PUT,外資及陸資,78437,175165,70432,192694,8005,-17529,182952,633040,99768,404644,83184,228396
2018/4/10,臺指選擇權,CALL,自營商,158114,345164,151122,336703,6992,8461,96216,354350,103262,336980,-7046,17370
2018/4/10,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,85,1568,-85,-1568
2018/4/10,臺指選擇權,CALL,外資及陸資,54171,157281,48567,154129,5604,3151,85200,275224,53509,211052,31691,64172
2018/4/10,臺指選擇權,PUT,自營商,197285,368330,204303,372850,-7018,-4520,126810,356023,198279,574213,-71469,-218190
2018/4/10,臺指選擇權,PUT,投信,0,0,0,0,0,0,1900,3800,598,849,1302,2951
2018/4/10,臺指選擇權,PUT,外資及陸資,64243,148129,51478,148362,12765,-233,197442,547616,101493,349560,95949,198056
2018/4/11,臺指選擇權,CALL,自營商,172138,305330,175584,330650,-3446,-25320,79036,333881,94315,342531,-15279,-8650
2018/4/11,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,85,1653,-85,-1653
2018/4/11,臺指選擇權,CALL,外資及陸資,57442,206757,50904,153793,6538,52963,92983,299283,56767,189071,36216,110212
2018/4/11,臺指選擇權,PUT,自營商,207353,293653,227232,294839,-19879,-1187,109405,318498,181644,494589,-72239,-176091
2018/4/11,臺指選擇權,PUT,投信,0,0,1900,2442,-1900,-2442,0,0,598,450,-598,-450
2018/4/11,臺指選擇權,PUT,外資及陸資,83549,166974,57807,159923,25742,7051,217284,522324,102097,339050,115187,183274
2018/4/12,臺指選擇權,CALL,自營商,85776,184374,105248,241071,-19472,-56696,69491,255539,104242,307375,-34751,-51836
2018/4/12,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,85,1492,-85,-1492
2018/4/12,臺指選擇權,CALL,外資及陸資,35351,112696,33802,109481,1549,3214,93887,254258,56122,149469,37765,104789
2018/4/12,臺指選擇權,PUT,自營商,116347,250307,117706,225090,-1359,25218,125455,371391,199053,519570,-73598,-148179
2018/4/12,臺指選擇權,PUT,投信,0,0,0,0,0,0,0,0,598,394,-598,-394
2018/4/12,臺指選擇權,PUT,外資及陸資,59639,137697,38498,129209,21141,8488,235308,542622,98980,348970,136328,193652
2018/4/13,臺指選擇權,CALL,自營商,87459,164645,86952,180546,507,-15901,73541,256497,107785,321607,-34244,-65110
2018/4/13,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,85,1543,-85,-1543
2018/4/13,臺指選擇權,CALL,外資及陸資,32437,84512,27490,82686,4947,1826,98243,249800,55531,145943,42712,103857
2018/4/13,臺指選擇權,PUT,自營商,91330,163629,108158,189972,-16828,-26343,122897,318436,213323,486777,-90426,-168341
2018/4/13,臺指選擇權,PUT,投信,0,0,0,0,0,0,0,0,598,255,-598,-255
2018/4/13,臺指選擇權,PUT,外資及陸資,37360,84728,30372,97014,6988,-12286,243856,493408,100540,324073,143316,169335
2018/4/16,臺指選擇權,CALL,自營商,94244,158743,104163,180407,-9919,-21663,72732,233783,116895,308735,-44163,-74952
2018/4/16,臺指選擇權,CALL,投信,0,0,0,0,0,0,0,0,85,1458,-85,-1458
2018/4/16,臺指選擇權,CALL,外資及陸資,27185,78153,31549,85077,-4364,-6924,98859,226177,60511,134081,38348,92096
2018/4/16,臺指選擇權,PUT,自營商,101875,179613,97298,163827,4577,15786,131585,331751,217434,482350,-85849,-150599
2018/4/16,臺指選擇權,PUT,投信,187,29,173,792,14,-763,0,0,584,936,-584,-936
2018/4/16,臺指選擇權,PUT,外資及陸資,38722,99545,38291,110781,431,-11236,244765,479718,101018,328533,143747,151185
2018/4/17,臺指選擇權,CALL,自營商,164760,220926,189692,226855,-24932,-5929,76854,153990,145949,178141,-69095,-24151
2018/4/17,臺指選擇權,CALL,投信,421,1666,85,1013,336,653,336,655,85,927,251,-272
2018/4/17,臺指選擇權,CALL,外資及陸資,46865,93727,42113,110136,4752,-16408,99871,140940,56771,72881,43100,68059
