日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2018/4/2,小型臺指期貨,自營商,7408,4029314,8221,4469614,-813,-440300,15119,8089632,11086,5876292,4033,2213340
2018/4/2,小型臺指期貨,投信,0,0,0,0,0,0,78,42366,40,21726,38,20640
2018/4/2,小型臺指期貨,外資及陸資,36665,19974125,37863,20627579,-1198,-653453,2118,1149746,2612,1418095,-494,-268349
2018/4/3,小型臺指期貨,自營商,9945,5347172,11696,6286477,-1751,-939305,15013,7972517,12731,6715768,2282,1256749
2018/4/3,小型臺指期貨,投信,0,0,0,0,0,0,78,42054,40,21566,38,20488
2018/4/3,小型臺指期貨,外資及陸資,53167,28639260,56455,30412914,-3288,-1773654,1381,743985,5039,2716067,-3658,-1972082
2018/4/9,小型臺指期貨,自營商,15887,8608988,12536,6798990,3351,1809997,17586,9457588,11919,6353346,5667,3104242
2018/4/9,小型臺指期貨,投信,0,0,0,0,0,0,78,42522,40,21806,38,20716
2018/4/9,小型臺指期貨,外資及陸資,53668,29117797,48954,26562628,4714,2555170,3214,1751294,2073,1129232,1141,622062
2018/4/10,小型臺指期貨,自營商,13884,7569155,12618,6882372,1266,686783,17619,9511240,9766,5204743,7853,4306497
2018/4/10,小型臺指期貨,投信,0,0,0,0,0,0,78,42697,40,21896,38,20801
2018/4/10,小型臺指期貨,外資及陸資,51382,28074063,51568,28174773,-186,-100711,3671,2008697,2716,1485734,955,522963
2018/4/11,小型臺指期貨,自營商,11825,6477085,9387,5144057,2438,1333029,19773,10718201,9340,4989139,10433,5729062
2018/4/11,小型臺指期貨,投信,16,8768,0,0,16,8768,94,51592,40,21954,54,29638
2018/4/11,小型臺指期貨,外資及陸資,37098,20354791,36455,20000110,643,354681,3509,1925089,1889,1035605,1620,889484
2018/4/12,小型臺指期貨,自營商,10418,5696459,13010,7110878,-2592,-1414419,18999,10262524,11302,6045499,7697,4217025
2018/4/12,小型臺指期貨,投信,0,0,0,0,0,0,94,51427,40,21884,54,29543
2018/4/12,小型臺指期貨,外資及陸資,43571,23872852,44299,24269845,-728,-396993,3601,1969466,2617,1430258,984,539208
2018/4/13,小型臺指期貨,自營商,11042,6035519,10815,5914514,227,121005,19086,10326456,10214,5462443,8872,4864013
2018/4/13,小型臺指期貨,投信,0,0,0,0,0,0,94,51498,40,21914,54,29584
2018/4/13,小型臺指期貨,外資及陸資,34246,18758628,32784,17956745,1462,801884,5090,2787941,2644,1447223,2446,1340718
2018/4/16,小型臺指期貨,自營商,11603,6334637,11725,6405051,-122,-70414,19472,10525585,10174,5439989,9298,5085596
2018/4/16,小型臺指期貨,投信,6,3279,6,3283,0,-4,94,51423,40,21884,54,29539
2018/4/16,小型臺指期貨,外資及陸資,37390,20457105,38423,21018929,-1033,-561825,4273,2337205,2852,1558956,1421,778249
2018/4/17,小型臺指期貨,自營商,14004,7602632,20562,11151453,-6558,-3548821,16892,9003489,14240,7560832,2652,1442657
