日期,商品名稱,身份別,多方交易口數,多方交易契約金額(千元),空方交易口數,空方交易契約金額(千元),多空交易口數淨額,多空交易契約金額淨額(千元),多方未平倉口數,多方未平倉契約金額(千元),空方未平倉口數,空方未平倉契約金額(千元),多空未平倉口數淨額,多空未平倉契約金額淨額(千元)
2018/4/2,臺股期貨,自營商,14899,32452617,14798,32224671,101,227946,5215,11130149,13658,29461676,-8443,-18331527
2018/4/2,臺股期貨,投信,208,452221,489,1063327,-281,-611106,1360,2954714,33789,73409951,-32429,-70455237
2018/4/2,臺股期貨,外資及陸資,44838,97699362,44483,96916127,355,783234,70657,153465483,21516,46637782,49141,106827701
2018/4/3,臺股期貨,自營商,16475,35478978,16203,34883919,272,595059,5448,11556385,13619,29159465,-8171,-17603080
2018/4/3,臺股期貨,投信,113,243462,741,1597916,-628,-1354454,1359,2930797,34416,74221516,-33057,-71290719
2018/4/3,臺股期貨,外資及陸資,68735,148087891,70381,151654557,-1646,-3566666,69934,150774961,22470,48354008,47464,102420953
2018/4/9,臺股期貨,自營商,24630,53489687,22714,49328217,1916,4161469,6394,13736806,12657,27392123,-6263,-13655317
2018/4/9,臺股期貨,投信,1516,3304887,144,313574,1372,2991313,1358,2961232,33043,72053536,-31685,-69092304
2018/4/9,臺股期貨,外資及陸資,75818,164608893,73122,158757086,2696,5851807,71529,155928991,21369,46489088,50160,109439903
2018/4/10,臺股期貨,自營商,23492,51318059,24774,54138315,-1282,-2820256,6411,13828599,14186,30852042,-7775,-17023443
2018/4/10,臺股期貨,投信,1549,3389768,89,194697,1460,3195072,1428,3126726,31653,69307361,-30225,-66180635
2018/4/10,臺股期貨,外資及陸資,73648,161003900,73857,161463401,-209,-459501,72054,157716575,22103,48287683,49951,109428892
2018/4/11,臺股期貨,自營商,20425,44800434,17896,39247667,2529,5552767,7615,16503783,12871,28043517,-5256,-11539734
2018/4/11,臺股期貨,投信,863,1894204,24,52630,839,1841574,1438,3156960,30824,67670966,-29386,-64514006
2018/4/11,臺股期貨,外資及陸資,52454,115122345,53801,118072814,-1347,-2950469,71845,157670333,23241,50914165,48604,106756168
2018/4/12,臺股期貨,自營商,19674,43088659,17618,38565122,2056,4523538,7790,16841536,10954,23761416,-3164,-6919880
2018/4/12,臺股期貨,投信,2072,4534182,1248,2725241,824,1808941,1407,3079054,29969,65579408,-28562,-62500354
2018/4/12,臺股期貨,外資及陸資,56720,124274422,63729,139627691,-7009,-15353269,64938,142047500,23366,51025264,41572,91022236
2018/4/13,臺股期貨,自營商,17081,37405067,16660,36480209,421,924857,9579,20779149,12559,27303058,-2980,-6523909
2018/4/13,臺股期貨,投信,5498,12053511,4278,9364279,1220,2689233,1418,3107347,28760,63008674,-27342,-59901327
2018/4/13,臺股期貨,外資及陸資,56689,124200701,54843,120180064,1846,4020637,67915,148746710,24497,53570576,43418,95176134
2018/4/16,臺股期貨,自營商,20264,44316256,19759,43205879,505,1110377,10040,21761908,12652,27464176,-2612,-5702268
2018/4/16,臺股期貨,投信,15536,33999912,15219,33263397,317,736515,1405,3073153,28430,62160428,-27025,-59087275
2018/4/16,臺股期貨,外資及陸資,93386,204275661,95467,208875783,-2081,-4600123,68391,149516426,27056,59076969,41335,90439457
2018/4/17,臺股期貨,自營商,30523,66274453,33000,71620337,-2477,-5345884,8048,17199449,13115,28117951,-5067,-10918502
2018/4/17,臺股期貨,投信,8925,19359562,9851,21339603,-926,-1980041,1330,2870747,29282,63197516,-27952,-60326769
2018/4/17,臺股期貨,外資及陸資,78264,170028719,82878,180084323,-4614,-10055604,66312,143116091,29599,63816466,36713,79299625
2018/4/18,臺股期貨,自營商,40453,87714021,39395,85421960,1058,2292061,6356,13616741,9937,21362828,-3581,-7746087
2018/4/18,臺股期貨,投信,447,970564,457,991222,-10,-20658,1319,2860903,29281,63510489,-27962,-60649586
2018/4/18,臺股期貨,外資及陸資,61685,133749323,58123,126017865,3562,7731458,61686,133769512,21788,47169409,39898,86600103
2018/4/19,臺股期貨,自營商,18047,39444787,18514,40465441,-467,-1020654,8959,19464958,13006,28325714,-4047,-8860756
2018/4/19,臺股期貨,投信,1060,2323997,72,157856,988,2166140,1506,3303252,28480,62468032,-26974,-59164780
2018/4/19,臺股期貨,外資及陸資,58723,128289604,48466,105919158,10257,22370446,72232,158404181,22070,48316289,50162,110087892
2018/4/20,臺股期貨,自營商,24148,52249201,27526,59587609,-3378,-7338408,5625,11964220,12650,27084306,-7025,-15120086
2018/4/20,臺股期貨,投信,160,346076,1039,2242858,-879,-1896782,1473,3177547,29326,63262047,-27853,-60084500
2018/4/20,臺股期貨,外資及陸資,61783,133791933,80863,175143447,-19080,-41351513,61381,132383664,30348,65376245,31033,67007419
2018/4/23,臺股期貨,自營商,22767,48824791,22096,47361789,671,1463002,5424,11432052,11533,24453660,-6109,-13021608
2018/4/23,臺股期貨,投信,139,298200,380,812620,-241,-514420,1517,3243642,29611,63314240,-28094,-60070598
2018/4/23,臺股期貨,外資及陸資,62162,133335860,63192,135536446,-1030,-2200586,60045,128361523,30053,64171123,29992,64190400
2018/4/24,臺股期貨,自營商,26702,56681485,27122,57556066,-420,-874581,5952,12435499,12340,25909583,-6388,-13474084
2018/4/24,臺股期貨,投信,147,311512,199,422482,-52,-110970,1544,3268641,29690,62853730,-28146,-59585089
2018/4/24,臺股期貨,外資及陸資,71680,152295872,72874,154817933,-1194,-2522061,58352,123504462,29554,62476433,28798,61028029
2018/4/25,臺股期貨,自營商,30316,63744959,26396,55495792,3920,8249168,6623,13784684,9087,18935924,-2464,-5151240
2018/4/25,臺股期貨,投信,476,1002481,15,31554,461,970927,1643,3461793,29328,61794096,-27685,-58332303
2018/4/25,臺股期貨,外資及陸資,80061,168438501,79854,168050507,207,387994,56743,119530414,27749,58377167,28994,61153247
2018/4/26,臺股期貨,自營商,19308,40681302,21705,45727028,-2397,-5045725,5634,11636569,10494,21769662,-4860,-10133093
2018/4/26,臺股期貨,投信,585,1227397,88,185419,497,1041978,1660,3477692,28848,60436560,-27188,-56958868
2018/4/26,臺股期貨,外資及陸資,75273,158719843,75923,160120264,-650,-1400421,56134,117573112,27790,58130653,28344,59442459
2018/4/27,臺股期貨,自營商,16031,33714601,16304,34291406,-273,-576805,4600,9543880,9800,20483957,-5200,-10940077
2018/4/27,臺股期貨,投信,530,1118828,94,197887,436,920941,1671,3529145,28423,60029376,-26752,-56500231
2018/4/27,臺股期貨,外資及陸資,56970,119866292,52901,111297943,4069,8568349,57436,121275675,25010,52733180,32426,68542495
2018/4/30,臺股期貨,自營商,18801,39839522,18387,38974696,414,864826,5157,10803486,10027,21151133,-4870,-10347647
2018/4/30,臺股期貨,投信,862,1835780,50,106190,812,1729590,1728,3681670,27668,58949441,-25940,-55267771
